,score_beta,threshold_factor,random_parents,threshold_iterations,max_components_to_swap,result,price
0,0.2,0.0,False,3,1,0.7430613830800001,7934.0
1,0.2,0.0,False,3,2,0.73906138308,7812.0
2,0.2,0.0,False,3,3,0.7150613830800001,7944.0
3,0.2,0.0,True,3,1,0.75013364412,7402.0
4,0.2,0.0,True,3,2,0.72681895882,7980.0
5,0.2,0.0,True,3,3,0.72657342656,7510.0
6,0.2,1.0,False,3,1,0.6971623931800001,7597.0
7,0.2,1.0,False,3,2,0.73921367522,7332.0
8,0.2,1.0,False,3,3,0.72504118104,7941.0
9,0.2,1.0,True,3,1,0.7130101010200001,7784.0
10,0.2,1.0,True,3,2,0.72826107228,7521.0
11,0.2,1.0,True,3,3,0.7183356643200001,6172.0
12,0.2,0.5,False,3,1,0.76316239318,7092.0
13,0.2,0.5,False,3,2,0.7270613830800001,7798.0
14,0.2,0.5,False,3,3,0.6920590520600001,7875.0
15,0.2,0.5,True,3,1,0.7230209790200001,7513.0
16,0.2,0.5,True,3,2,0.7139331779400001,7890.0
17,0.2,0.5,True,3,3,0.7004164724,6658.0
18,0.2,0.9,False,3,1,0.74116239318,7458.0
19,0.2,0.9,False,3,2,0.7489774669800001,7405.0
20,0.2,0.9,False,3,3,0.70671794872,7963.0
21,0.2,0.9,True,3,1,0.71473815074,7747.0
22,0.2,0.9,True,3,2,0.7101880342000001,5681.0
23,0.2,0.9,True,3,3,0.6997793317800001,6158.0
24,0.2,0.0,False,5,1,0.7127381507400001,7963.0
25,0.2,0.0,False,5,2,0.7469059829200001,7144.0
26,0.2,0.0,False,5,3,0.7410209790200001,7818.0
27,0.2,0.0,True,5,1,0.710988345,7133.0
28,0.2,0.0,True,5,2,0.72475835276,7623.0
29,0.2,0.0,True,5,3,0.7187785547800001,7769.0
30,0.2,1.0,False,5,1,0.7331623931800001,7618.0
31,0.2,1.0,False,5,2,0.7254700854800001,7089.0
32,0.2,1.0,False,5,3,0.7511623931800001,7252.0
33,0.2,1.0,True,5,1,0.7207536907600001,6689.0
34,0.2,1.0,True,5,2,0.7290815851000001,7480.0
35,0.2,1.0,True,5,3,0.71565811964,5879.0
36,0.2,0.5,False,5,1,0.71692618494,7113.0
37,0.2,0.5,False,5,2,0.72073815074,7948.0
38,0.2,0.5,False,5,3,0.7591623931800001,7368.0
39,0.2,0.5,True,5,1,0.71673815074,7828.0
40,0.2,0.5,True,5,2,0.70969852368,6410.0
41,0.2,0.5,True,5,3,0.70834343436,4216.0
42,0.2,0.9,False,5,1,0.6920792540800002,7771.0
43,0.2,0.9,False,5,2,0.7565982906000001,7419.0
44,0.2,0.9,False,5,3,0.75516239318,7476.0
45,0.2,0.9,True,5,1,0.70547163948,5825.0
46,0.2,0.9,True,5,2,0.72087956488,7848.0
47,0.2,0.9,True,5,3,0.7068997669000001,7805.0
48,0.2,0.0,False,10,1,0.76916239318,7546.0
49,0.2,0.0,False,10,2,0.72873815074,7964.0
50,0.2,0.0,False,10,3,0.7490815851000001,7261.0
